,pmid,Dataset,Real label,times_correct,times_test,CorrectlyClassified
2809,21274882,random_1000_pmids,Relevant,0,41,0.0
2789,21125318,2000V2_1103,Relevant,0,35,0.0
2760,20919414,2000V2_1103,Relevant,0,37,0.0
2536,18713511,pk_random,Relevant,0,48,0.0
2521,18597006,2000V2_1103,Not Relevant,0,44,0.0
2861,21780098,random_1000_pmids,Not Relevant,0,46,0.0
1777,11933029,pk_random,Relevant,0,36,0.0
3058,23461861,pk_random,Relevant,0,39,0.0
1207,8490113,random_1000_pmids,Relevant,0,24,0.0
1196,8408401,pk_random,Relevant,0,35,0.0
1209,8494382,2000V2_1103,Relevant,0,45,0.0
1247,8737123,pk_random,Not Relevant,0,37,0.0
19,288932,random_1000_pmids,Relevant,0,40,0.0
619,3910326,random_1000_pmids,Relevant,0,51,0.0
1136,8040131,2000V2_1103,Relevant,0,45,0.0
3323,25570731,2000V2_1103,Relevant,0,35,0.0
1107,7931489,2000V2_1103,Relevant,0,34,0.0
1083,7796154,2000V2_1103,Relevant,0,39,0.0
3399,26111604,2000V2_1103,Not Relevant,0,41,0.0
3302,25402233,pk_random,Relevant,0,40,0.0
1163,8217358,pk_random,Relevant,0,38,0.0
1051,7611820,pk_random,Not Relevant,0,40,0.0
1527,10590278,random_1000_pmids,Relevant,0,45,0.0
562,3576654,2000V2_1103,Relevant,0,43,0.0
1511,10512075,2000V2_1103,Relevant,0,28,0.0
553,3504395,random_1000_pmids,Relevant,0,35,0.0
1025,7492975,2000V2_1103,Not Relevant,0,46,0.0
2,36107,2000V2_1103,Relevant,0,41,0.0
3986,31286321,2000V2_1103,Not Relevant,0,46,0.0
1624,11075309,random_1000_pmids,Not Relevant,0,37,0.0
44,527639,2000V2_1103,Not Relevant,0,46,0.0
931,6897018,random_1000_pmids,Relevant,0,36,0.0
1628,11119892,random_1000_pmids,Relevant,0,36,0.0
731,5124312,random_1000_pmids,Relevant,0,33,0.0
3292,25313022,2000V2_1103,Relevant,0,30,0.0
750,5477259,2000V2_1103,Relevant,0,35,0.0
3743,28893246,2000V2_1103,Not Relevant,1,50,2.0
2509,18486370,2000V2_1103,Relevant,1,48,2.083333333333333
361,2555466,2000V2_1103,Relevant,1,47,2.127659574468085
756,5535185,pk_random,Relevant,1,45,2.2222222222222223
58,660529,random_1000_pmids,Not Relevant,1,44,2.272727272727273
3503,26956592,2000V2_1103,Relevant,1,43,2.3255813953488373
1296,9004956,2000V2_1103,Not Relevant,1,42,2.380952380952381
194,1729766,random_1000_pmids,Not Relevant,1,42,2.380952380952381
156,1595964,random_1000_pmids,Relevant,1,39,2.564102564102564
347,2491461,random_1000_pmids,Relevant,1,37,2.7027027027027026
9,98115,2000V2_1103,Relevant,1,37,2.7027027027027026
2322,17085334,random_1000_pmids,Not Relevant,1,36,2.7777777777777777
2009,14760610,2000V2_1103,Not Relevant,1,35,2.857142857142857
2928,22369198,pk_random,Relevant,1,34,2.941176470588235
1973,14527832,pk_random,Not Relevant,1,34,2.941176470588235
2772,20978165,2000V2_1103,Relevant,1,34,2.941176470588235
3290,25294187,random_1000_pmids,Relevant,1,33,3.0303030303030303
1629,11129101,2000V2_1103,Not Relevant,2,53,3.7735849056603774
3673,28399267,random_1000_pmids,Relevant,2,48,4.166666666666666
1524,10576455,2000V2_1103,Not Relevant,2,47,4.25531914893617
3700,28601755,2000V2_1103,Relevant,2,47,4.25531914893617
808,6234387,2000V2_1103,Relevant,2,45,4.444444444444445
1673,11372879,pk_random,Relevant,2,45,4.444444444444445
2820,21393427,pk_random,Relevant,2,43,4.651162790697675
3809,29465117,random_1000_pmids,Not Relevant,2,42,4.761904761904762
1396,9648082,random_1000_pmids,Not Relevant,2,41,4.878048780487805
3914,30335259,2000V2_1103,Not Relevant,2,41,4.878048780487805
3859,29914947,pk_random,Not Relevant,2,41,4.878048780487805
1030,7528846,2000V2_1103,Relevant,2,41,4.878048780487805
516,3310583,random_1000_pmids,Not Relevant,2,41,4.878048780487805
1378,9544547,pk_random,Not Relevant,2,41,4.878048780487805
2702,20171941,2000V2_1103,Not Relevant,2,40,5.0
352,2513744,pk_random,Relevant,2,40,5.0
3646,28167538,2000V2_1103,Not Relevant,2,40,5.0
137,1489328,2000V2_1103,Relevant,2,39,5.128205128205128
1113,7955769,2000V2_1103,Not Relevant,3,57,5.263157894736842
3885,30094711,2000V2_1103,Not Relevant,2,38,5.263157894736842
3960,30940188,random_1000_pmids,Not Relevant,2,37,5.405405405405405
349,2498268,random_1000_pmids,Relevant,3,52,5.769230769230769
1633,11149105,random_1000_pmids,Not Relevant,2,34,5.88235294117647
2217,16412237,2000V2_1103,Not Relevant,2,33,6.0606060606060606
2587,19195882,2000V2_1103,Not Relevant,3,48,6.25
1014,7430297,random_1000_pmids,Relevant,3,46,6.521739130434782
3815,29484615,random_1000_pmids,Relevant,3,45,6.666666666666667
3798,29415861,2000V2_1103,Not Relevant,3,45,6.666666666666667
1268,8859183,2000V2_1103,Relevant,3,41,7.317073170731707
442,2882877,random_1000_pmids,Relevant,3,40,7.5
611,3829018,random_1000_pmids,Relevant,3,40,7.5
2110,15687110,2000V2_1103,Not Relevant,3,39,7.6923076923076925
2817,21352914,random_1000_pmids,Not Relevant,3,37,8.108108108108109
2827,21434772,random_1000_pmids,Not Relevant,3,35,8.571428571428571
591,3680576,pk_random,Not Relevant,4,46,8.695652173913043
164,1643752,pk_random,Relevant,3,33,9.090909090909092
2910,22189656,2000V2_1103,Not Relevant,4,43,9.30232558139535
555,3523515,2000V2_1103,Not Relevant,4,42,9.523809523809524
1081,7780228,2000V2_1103,Relevant,4,41,9.75609756097561
2490,18386838,random_1000_pmids,Relevant,3,30,10.0
1832,12231373,random_1000_pmids,Relevant,4,38,10.526315789473683
536,3393421,random_1000_pmids,Relevant,4,38,10.526315789473683
1145,8077690,random_1000_pmids,Not Relevant,5,47,10.638297872340425
3525,27132188,pk_random,Not Relevant,4,37,10.81081081081081
3877,30056506,pk_random,Not Relevant,5,45,11.11111111111111
1798,12026221,2000V2_1103,Relevant,4,35,11.428571428571429
3042,23354567,random_1000_pmids,Not Relevant,3,25,12.0
2230,16470118,pk_random,Not Relevant,4,33,12.121212121212121
786,6110742,pk_random,Not Relevant,5,41,12.195121951219512
3750,28945434,random_1000_pmids,Relevant,5,41,12.195121951219512
3565,27469220,2000V2_1103,Relevant,5,39,12.82051282051282
556,3530584,pk_random,Not Relevant,6,46,13.043478260869565
3983,31232274,random_1000_pmids,Relevant,5,38,13.157894736842104
677,4431661,2000V2_1103,Not Relevant,5,38,13.157894736842104
105,1286937,random_1000_pmids,Relevant,5,37,13.513513513513514
3977,31118630,random_1000_pmids,Relevant,6,44,13.636363636363635
3882,30075162,random_1000_pmids,Not Relevant,5,35,14.285714285714285
3345,25695586,2000V2_1103,Not Relevant,6,42,14.285714285714285
3322,25560290,pk_random,Not Relevant,6,42,14.285714285714285
3432,26349527,2000V2_1103,Not Relevant,6,41,14.634146341463413
1256,8788139,random_1000_pmids,Relevant,5,34,14.705882352941178
3601,27767204,pk_random,Not Relevant,6,40,15.0
1509,10510150,pk_random,Relevant,7,46,15.217391304347828
1348,9358548,2000V2_1103,Not Relevant,6,39,15.384615384615385
93,1037278,random_1000_pmids,Relevant,6,39,15.384615384615385
2906,22143528,random_1000_pmids,Relevant,5,32,15.625
3887,30115278,pk_random,Not Relevant,6,38,15.789473684210526
1531,10611459,random_1000_pmids,Relevant,7,44,15.909090909090908
3193,24574331,pk_random,Not Relevant,7,44,15.909090909090908
3488,26846320,2000V2_1103,Relevant,7,43,16.27906976744186
699,4694690,pk_random,Relevant,8,48,16.666666666666664
973,7127389,pk_random,Relevant,7,42,16.666666666666664
278,2170822,random_1000_pmids,Not Relevant,7,42,16.666666666666664
2475,18306292,2000V2_1103,Relevant,6,36,16.666666666666664
2596,19277662,random_1000_pmids,Not Relevant,7,41,17.073170731707318
35,467328,2000V2_1103,Relevant,9,51,17.647058823529413
1500,10486187,2000V2_1103,Relevant,7,39,17.94871794871795
1760,11850287,pk_random,Not Relevant,7,39,17.94871794871795
3554,27343476,random_1000_pmids,Not Relevant,7,39,17.94871794871795
3231,24882155,2000V2_1103,Not Relevant,6,33,18.181818181818183
3185,24514453,2000V2_1103,Not Relevant,7,38,18.421052631578945
2497,18430202,pk_random,Relevant,7,38,18.421052631578945
2647,19736932,2000V2_1103,Relevant,6,32,18.75
3045,23357766,random_1000_pmids,Not Relevant,9,47,19.148936170212767
2439,17954177,pk_random,Not Relevant,8,41,19.51219512195122
3485,26810316,2000V2_1103,Not Relevant,8,41,19.51219512195122
2288,16871060,pk_random,Not Relevant,6,30,20.0
3039,23314933,2000V2_1103,Not Relevant,8,39,20.51282051282051
2277,16829051,2000V2_1103,Not Relevant,7,34,20.588235294117645
3962,30953687,random_1000_pmids,Relevant,7,33,21.21212121212121
3541,27217747,pk_random,Not Relevant,10,47,21.27659574468085
1932,12884333,pk_random,Not Relevant,9,42,21.428571428571427
1311,9112355,2000V2_1103,Not Relevant,10,46,21.73913043478261
1110,7945705,pk_random,Relevant,10,45,22.22222222222222
2867,21807883,2000V2_1103,Relevant,9,40,22.5
2981,22777686,pk_random,Relevant,9,40,22.5
1703,11511951,random_1000_pmids,Not Relevant,10,44,22.727272727272727
2008,14749756,random_1000_pmids,Not Relevant,8,35,22.857142857142858
894,6733008,pk_random,Relevant,10,43,23.25581395348837
1431,9814882,random_1000_pmids,Relevant,11,47,23.404255319148938
594,3709786,random_1000_pmids,Relevant,9,38,23.684210526315788
318,2333280,2000V2_1103,Relevant,12,50,24.0
123,1412145,2000V2_1103,Not Relevant,11,44,25.0
2376,17450625,random_1000_pmids,Relevant,7,28,25.0
2543,18786259,random_1000_pmids,Not Relevant,10,40,25.0
1488,10383928,2000V2_1103,Relevant,10,40,25.0
2839,21540647,2000V2_1103,Relevant,11,44,25.0
409,2727431,pk_random,Not Relevant,11,43,25.581395348837212
353,2515753,random_1000_pmids,Not Relevant,10,39,25.64102564102564
2900,22098224,pk_random,Relevant,10,39,25.64102564102564
4,42718,2000V2_1103,Not Relevant,9,34,26.47058823529412
939,6990320,random_1000_pmids,Not Relevant,12,45,26.666666666666668
1291,8970874,random_1000_pmids,Not Relevant,12,43,27.906976744186046
205,1782737,2000V2_1103,Not Relevant,11,39,28.205128205128204
1216,8514639,random_1000_pmids,Relevant,11,39,28.205128205128204
3150,24286216,2000V2_1103,Relevant,13,46,28.26086956521739
2914,22242687,pk_random,Relevant,10,35,28.57142857142857
3954,30851209,random_1000_pmids,Relevant,13,45,28.888888888888886
3588,27662634,random_1000_pmids,Relevant,11,38,28.947368421052634
2027,15032427,2000V2_1103,Not Relevant,11,38,28.947368421052634
2846,21613232,pk_random,Relevant,12,41,29.268292682926827
1815,12118899,2000V2_1103,Relevant,12,41,29.268292682926827
223,1880724,pk_random,Relevant,10,34,29.411764705882355
2058,15239652,random_1000_pmids,Relevant,11,37,29.72972972972973
558,3554156,2000V2_1103,Not Relevant,12,40,30.0
2719,20356808,2000V2_1103,Not Relevant,10,33,30.303030303030305
124,1427960,2000V2_1103,Not Relevant,9,29,31.03448275862069
583,3656064,random_1000_pmids,Relevant,10,32,31.25
418,2761263,pk_random,Relevant,12,38,31.57894736842105
1542,10638392,2000V2_1103,Relevant,12,38,31.57894736842105
3851,29771647,random_1000_pmids,Not Relevant,17,53,32.075471698113205
2943,22472987,pk_random,Not Relevant,10,31,32.25806451612903
2713,20220040,random_1000_pmids,Relevant,11,34,32.35294117647059
1364,9435990,pk_random,Not Relevant,13,40,32.5
1668,11346897,2000V2_1103,Not Relevant,14,43,32.55813953488372
3640,28130762,random_1000_pmids,Not Relevant,14,43,32.55813953488372
1179,8324929,2000V2_1103,Not Relevant,16,48,33.33333333333333
3712,28668891,pk_random,Relevant,15,44,34.090909090909086
1504,10496672,2000V2_1103,Relevant,15,44,34.090909090909086
2982,22809244,pk_random,Not Relevant,13,38,34.21052631578947
1064,7674566,pk_random,Relevant,11,32,34.375
2706,20195579,2000V2_1103,Not Relevant,11,32,34.375
2177,16125355,2000V2_1103,Not Relevant,16,46,34.78260869565217
1203,8458882,pk_random,Relevant,15,43,34.883720930232556
502,3255121,2000V2_1103,Relevant,15,43,34.883720930232556
911,6788306,random_1000_pmids,Not Relevant,17,48,35.41666666666667
3846,29731646,pk_random,Not Relevant,16,45,35.55555555555556
2968,22661887,2000V2_1103,Not Relevant,10,28,35.714285714285715
1942,12921250,2000V2_1103,Relevant,16,44,36.36363636363637
174,1672049,2000V2_1103,Relevant,16,44,36.36363636363637
2873,21828909,2000V2_1103,Not Relevant,16,44,36.36363636363637
1094,7878694,random_1000_pmids,Relevant,15,41,36.58536585365854
3837,29673395,pk_random,Not Relevant,14,38,36.84210526315789
1808,12093595,2000V2_1103,Not Relevant,14,38,36.84210526315789
609,3826754,2000V2_1103,Relevant,13,35,37.142857142857146
3000,22975500,2000V2_1103,Not Relevant,15,40,37.5
3398,26086111,2000V2_1103,Relevant,12,32,37.5
1272,8868029,pk_random,Relevant,14,37,37.83783783783784
2621,19538672,2000V2_1103,Relevant,19,50,38.0
189,1715268,2000V2_1103,Not Relevant,15,39,38.46153846153847
929,6894697,pk_random,Relevant,12,31,38.70967741935484
2120,15749465,2000V2_1103,Not Relevant,16,41,39.02439024390244
1265,8842043,2000V2_1103,Relevant,18,46,39.130434782608695
2211,16378695,2000V2_1103,Not Relevant,18,46,39.130434782608695
3726,28770827,2000V2_1103,Relevant,13,33,39.39393939393939
3234,24900480,2000V2_1103,Relevant,13,33,39.39393939393939
2324,17090396,pk_random,Relevant,18,45,40.0
874,6616139,2000V2_1103,Relevant,16,40,40.0
1929,12869367,2000V2_1103,Relevant,21,52,40.38461538461539
298,2257658,pk_random,Not Relevant,18,44,40.909090909090914
3955,30864076,2000V2_1103,Not Relevant,18,44,40.909090909090914
3897,30197030,2000V2_1103,Not Relevant,18,44,40.909090909090914
3233,24900185,2000V2_1103,Relevant,16,39,41.02564102564102
2429,17889135,random_1000_pmids,Relevant,16,39,41.02564102564102
917,6820097,random_1000_pmids,Not Relevant,21,51,41.17647058823529
3568,27501037,random_1000_pmids,Relevant,14,34,41.17647058823529
3862,29923314,2000V2_1103,Not Relevant,20,48,41.66666666666667
3795,29408757,2000V2_1103,Not Relevant,15,36,41.66666666666667
2707,20197464,random_1000_pmids,Relevant,18,43,41.86046511627907
1324,9184195,pk_random,Not Relevant,14,33,42.42424242424242
145,1517295,2000V2_1103,Not Relevant,17,40,42.5
2598,19339162,2000V2_1103,Relevant,13,30,43.333333333333336
3840,29679234,pk_random,Relevant,15,34,44.11764705882353
1177,8321517,random_1000_pmids,Relevant,15,34,44.11764705882353
3506,27006091,random_1000_pmids,Relevant,19,43,44.18604651162791
649,4063148,2000V2_1103,Relevant,12,27,44.44444444444444
2279,16832611,2000V2_1103,Relevant,18,40,45.0
1326,9200540,random_1000_pmids,Not Relevant,14,31,45.16129032258064
2403,17635395,random_1000_pmids,Not Relevant,14,31,45.16129032258064
878,6631673,random_1000_pmids,Relevant,19,42,45.23809523809524
3262,25070482,2000V2_1103,Relevant,19,42,45.23809523809524
1172,8299663,random_1000_pmids,Not Relevant,21,46,45.65217391304348
1851,12424503,2000V2_1103,Not Relevant,17,37,45.94594594594595
3354,25757439,2000V2_1103,Relevant,18,39,46.15384615384615
813,6287502,random_1000_pmids,Not Relevant,19,41,46.34146341463415
1448,9892089,random_1000_pmids,Not Relevant,17,36,47.22222222222222
486,3193494,random_1000_pmids,Relevant,23,48,47.91666666666667
424,2795208,2000V2_1103,Relevant,23,48,47.91666666666667
1191,8383359,random_1000_pmids,Relevant,23,48,47.91666666666667
1090,7846192,2000V2_1103,Not Relevant,14,29,48.275862068965516
3676,28412689,2000V2_1103,Not Relevant,15,31,48.38709677419355
2695,20123565,2000V2_1103,Not Relevant,21,43,48.837209302325576
1677,11395020,pk_random,Not Relevant,21,42,50.0
2732,20541405,random_1000_pmids,Relevant,22,44,50.0
3649,28218440,pk_random,Not Relevant,20,40,50.0
2889,21999529,2000V2_1103,Not Relevant,16,32,50.0
102,1226721,2000V2_1103,Not Relevant,19,38,50.0
686,4483057,2000V2_1103,Not Relevant,21,41,51.21951219512195
3850,29764549,pk_random,Relevant,18,35,51.42857142857142
647,4062269,2000V2_1103,Not Relevant,18,35,51.42857142857142
2597,19325254,2000V2_1103,Not Relevant,22,42,52.38095238095239
3685,28472285,random_1000_pmids,Not Relevant,22,42,52.38095238095239
1182,8335042,random_1000_pmids,Not Relevant,22,42,52.38095238095239
2964,22634072,pk_random,Relevant,21,40,52.5
901,6764387,pk_random,Not Relevant,16,30,53.333333333333336
2415,17697065,2000V2_1103,Not Relevant,24,45,53.333333333333336
3464,26660672,random_1000_pmids,Relevant,23,43,53.48837209302325
843,6421538,2000V2_1103,Relevant,14,26,53.84615384615385
2885,21969074,random_1000_pmids,Not Relevant,20,37,54.054054054054056
1401,9676823,pk_random,Not Relevant,19,35,54.285714285714285
1137,8040937,random_1000_pmids,Relevant,23,42,54.761904761904766
3020,23188183,2000V2_1103,Not Relevant,23,42,54.761904761904766
1224,8573639,pk_random,Not Relevant,26,47,55.319148936170215
1802,12057646,2000V2_1103,Not Relevant,25,45,55.55555555555556
3737,28825794,2000V2_1103,Not Relevant,29,52,55.769230769230774
3454,26543366,pk_random,Relevant,24,43,55.81395348837209
2629,19578302,2000V2_1103,Relevant,24,43,55.81395348837209
1728,11672755,2000V2_1103,Relevant,22,39,56.41025641025641
3526,27133481,pk_random,Relevant,26,46,56.52173913043478
3629,28074420,2000V2_1103,Not Relevant,21,37,56.75675675675676
384,2658889,2000V2_1103,Not Relevant,21,37,56.75675675675676
2155,15979103,2000V2_1103,Relevant,21,37,56.75675675675676
624,3936044,random_1000_pmids,Relevant,20,35,57.14285714285714
3129,24099564,2000V2_1103,Not Relevant,23,40,57.49999999999999
2304,16958828,2000V2_1103,Not Relevant,19,33,57.57575757575758
980,7179325,2000V2_1103,Relevant,26,45,57.77777777777777
1898,12720413,pk_random,Relevant,26,45,57.77777777777777
101,1211899,2000V2_1103,Relevant,25,43,58.139534883720934
3397,26082973,2000V2_1103,Not Relevant,21,36,58.333333333333336
1079,7747269,pk_random,Relevant,21,36,58.333333333333336
3824,29565998,2000V2_1103,Not Relevant,24,41,58.536585365853654
1905,12744364,pk_random,Not Relevant,24,41,58.536585365853654
1806,12076349,2000V2_1103,Not Relevant,29,49,59.183673469387756
3037,23286178,pk_random,Not Relevant,19,32,59.375
575,3612318,2000V2_1103,Not Relevant,25,42,59.523809523809526
2262,16757170,2000V2_1103,Relevant,24,40,60.0
3758,29049226,random_1000_pmids,Not Relevant,30,50,60.0
1676,11390729,2000V2_1103,Relevant,29,48,60.416666666666664
1606,10990202,pk_random,Not Relevant,25,41,60.97560975609756
3957,30887226,2000V2_1103,Relevant,25,41,60.97560975609756
1969,14504308,2000V2_1103,Not Relevant,27,44,61.36363636363637
3460,26586461,2000V2_1103,Not Relevant,27,44,61.36363636363637
2570,19081254,2000V2_1103,Not Relevant,24,39,61.53846153846154
884,6673975,2000V2_1103,Not Relevant,24,39,61.53846153846154
2023,15018802,2000V2_1103,Relevant,29,47,61.702127659574465
179,1678747,2000V2_1103,Not Relevant,21,34,61.76470588235294
1879,12597427,2000V2_1103,Not Relevant,26,42,61.904761904761905
566,3588651,2000V2_1103,Relevant,23,37,62.16216216216216
2609,19418271,pk_random,Relevant,28,45,62.22222222222222
3949,30785748,random_1000_pmids,Relevant,30,48,62.5
2546,18816299,random_1000_pmids,Not Relevant,25,40,62.5
3206,24648045,2000V2_1103,Not Relevant,27,43,62.7906976744186
3424,26304930,pk_random,Not Relevant,27,43,62.7906976744186
695,4644642,random_1000_pmids,Not Relevant,26,41,63.41463414634146
1834,12297125,2000V2_1103,Not Relevant,21,33,63.63636363636363
862,6506133,2000V2_1103,Not Relevant,20,31,64.51612903225806
3389,26028483,2000V2_1103,Not Relevant,20,31,64.51612903225806
3405,26184450,2000V2_1103,Relevant,20,31,64.51612903225806
3463,26658763,pk_random,Not Relevant,31,48,64.58333333333334
2163,16022766,random_1000_pmids,Not Relevant,22,34,64.70588235294117
2658,19825011,pk_random,Relevant,22,34,64.70588235294117
794,6144159,2000V2_1103,Not Relevant,26,40,65.0
941,6990859,2000V2_1103,Not Relevant,19,29,65.51724137931035
957,7060462,pk_random,Not Relevant,25,38,65.78947368421053
2162,16005693,2000V2_1103,Relevant,27,41,65.85365853658537
1336,9247180,2000V2_1103,Relevant,27,41,65.85365853658537
1771,11897581,random_1000_pmids,Relevant,27,41,65.85365853658537
1007,7403404,random_1000_pmids,Relevant,29,44,65.9090909090909
900,6764164,pk_random,Not Relevant,29,44,65.9090909090909
1116,7970444,pk_random,Relevant,31,47,65.95744680851064
1132,8030508,pk_random,Not Relevant,26,39,66.66666666666666
882,6662978,pk_random,Relevant,26,39,66.66666666666666
249,2009235,random_1000_pmids,Not Relevant,18,27,66.66666666666666
3659,28282993,random_1000_pmids,Not Relevant,24,36,66.66666666666666
3872,30027513,pk_random,Not Relevant,28,42,66.66666666666666
814,6294363,2000V2_1103,Relevant,24,36,66.66666666666666
1883,12627859,pk_random,Relevant,28,42,66.66666666666666
1787,11960317,2000V2_1103,Not Relevant,35,52,67.3076923076923
3122,24041886,2000V2_1103,Not Relevant,25,37,67.56756756756756
1046,7591582,pk_random,Not Relevant,25,37,67.56756756756756
29,409096,2000V2_1103,Not Relevant,23,34,67.64705882352942
3403,26142947,2000V2_1103,Not Relevant,30,44,68.18181818181817
2404,17637187,2000V2_1103,Not Relevant,30,44,68.18181818181817
2247,16625029,pk_random,Not Relevant,28,41,68.29268292682927
978,7173598,2000V2_1103,Relevant,28,41,68.29268292682927
1484,10362138,random_1000_pmids,Relevant,28,41,68.29268292682927
796,6147827,2000V2_1103,Not Relevant,28,41,68.29268292682927
150,1536597,random_1000_pmids,Not Relevant,26,38,68.42105263157895
178,1678621,random_1000_pmids,Relevant,26,38,68.42105263157895
2835,21511016,random_1000_pmids,Relevant,24,35,68.57142857142857
2594,19246289,random_1000_pmids,Not Relevant,25,36,69.44444444444444
858,6491984,2000V2_1103,Relevant,28,40,70.0
2580,19154107,pk_random,Not Relevant,28,40,70.0
199,1749082,2000V2_1103,Not Relevant,28,40,70.0
3829,29607891,2000V2_1103,Relevant,33,47,70.2127659574468
1379,9548893,2000V2_1103,Relevant,26,37,70.27027027027027
2606,19400191,2000V2_1103,Not Relevant,31,44,70.45454545454545
2071,15315767,pk_random,Not Relevant,22,31,70.96774193548387
3400,26123277,2000V2_1103,Not Relevant,27,38,71.05263157894737
3613,27886532,2000V2_1103,Relevant,30,42,71.42857142857143
89,971699,random_1000_pmids,Relevant,30,42,71.42857142857143
3660,28283500,2000V2_1103,Not Relevant,33,46,71.73913043478261
242,1981546,pk_random,Relevant,28,39,71.7948717948718
3769,29144137,pk_random,Not Relevant,28,39,71.7948717948718
2781,21083275,2000V2_1103,Not Relevant,31,43,72.09302325581395
3511,27028535,pk_random,Not Relevant,26,36,72.22222222222221
3149,24283396,random_1000_pmids,Relevant,26,36,72.22222222222221
338,2390423,random_1000_pmids,Not Relevant,29,40,72.5
2886,21970471,random_1000_pmids,Relevant,29,40,72.5
3414,26259716,2000V2_1103,Not Relevant,29,40,72.5
2641,19672409,pk_random,Not Relevant,37,51,72.54901960784314
1617,11046083,random_1000_pmids,Not Relevant,24,33,72.72727272727273
1462,10082325,2000V2_1103,Not Relevant,24,33,72.72727272727273
1008,7406042,pk_random,Not Relevant,35,48,72.91666666666666
3729,28785860,2000V2_1103,Relevant,27,37,72.97297297297297
841,6415082,pk_random,Not Relevant,19,26,73.07692307692307
885,6684934,random_1000_pmids,Relevant,30,41,73.17073170731707
2251,16651305,2000V2_1103,Relevant,30,41,73.17073170731707
1069,7704917,2000V2_1103,Not Relevant,36,49,73.46938775510205
3781,29273485,pk_random,Relevant,25,34,73.52941176470588
1748,11801808,2000V2_1103,Not Relevant,25,34,73.52941176470588
533,3383542,pk_random,Not Relevant,31,42,73.80952380952381
1436,9839145,random_1000_pmids,Not Relevant,26,35,74.28571428571429
1767,11886006,2000V2_1103,Relevant,29,39,74.35897435897436
3924,30412644,random_1000_pmids,Not Relevant,35,47,74.46808510638297
3449,26491012,2000V2_1103,Relevant,35,47,74.46808510638297
604,3775801,pk_random,Not Relevant,24,32,75.0
3167,24409520,2000V2_1103,Relevant,30,40,75.0
3092,23769277,2000V2_1103,Not Relevant,33,44,75.0
2344,17192501,pk_random,Relevant,33,44,75.0
3607,27832514,random_1000_pmids,Relevant,24,32,75.0
1810,12105984,2000V2_1103,Not Relevant,30,40,75.0
3514,27072431,pk_random,Relevant,37,49,75.51020408163265
1386,9602582,2000V2_1103,Not Relevant,34,45,75.55555555555556
629,3957664,pk_random,Not Relevant,28,37,75.67567567567568
2507,18482898,2000V2_1103,Not Relevant,28,37,75.67567567567568
3349,25711339,pk_random,Not Relevant,25,33,75.75757575757575
3165,24387781,2000V2_1103,Not Relevant,26,34,76.47058823529412
3687,28483858,2000V2_1103,Relevant,26,34,76.47058823529412
868,6539198,pk_random,Not Relevant,26,34,76.47058823529412
2041,15113584,pk_random,Relevant,30,39,76.92307692307693
1126,8000380,2000V2_1103,Relevant,37,48,77.08333333333334
3665,28350572,random_1000_pmids,Relevant,34,44,77.27272727272727
615,3888431,2000V2_1103,Not Relevant,41,53,77.35849056603774
3988,31411489,2000V2_1103,Relevant,24,31,77.41935483870968
1074,7720515,pk_random,Relevant,24,31,77.41935483870968
